anno	mese	provincia	comune	giorno_settimana	ora	organo_di_rilevazione	organo_coordinatore	localizzazione_incidente	denominazione_della_strada	progressivo_chilometrico	tronco_di_strada_o_autostrada	tipo_di_strada	pavimentazione	intersezione_o_non_interse1	fondo_stradale	segnaletica	condizioni_meteorologiche	natura_incidente	tipo_veicolo_a	tipo_veicoli__b_	tipo_veicolo__c_	cilindrata__veicolo__a_	cilindrata__veicolo__b_	cilindrata__veicolo__c_	peso_totale_a_pieno_carico2	peso_totale_a_pieno_carico3	peso_totale_a_pieno_carico4	veicolo__a____circostanze_5	veicolo__a____circostanze_6	veicolo__b____circostanze_7	veicolo__b____circostanze_8	immatricolazione_veicolo__a_	immatricolazione_veicolo__b_	immatricolazione_veicolo__c_	veicolo__a___et__conducente	veicolo__a___sesso_conducente	veicolo__a___esito_conducente	veicolo__a___patente_condu9	veicolo__a___anno_rilascio10	veicolo__a___passeggeri_an11	veicolo__a___et__passegger12	veicolo__a___sesso_passegg13	veicolo__a___esito_passegg14	veicolo__a___et__passegger15	veicolo__a___sesso_passegg16	veicolo__a___esito_passegg17	veicolo__a___et__passegger18	veicolo__a___sesso_passegg19	veicolo__a___esito_passegg20	veicolo__a___et__passegger21	veicolo__a___sesso_passegg22	veicolo__a___altri_passegg23	veicolo__a___altri_passegg24	veicolo__a___altri_passegg25	veicolo__a___altri_passegg26	veicolo__b___et__conducente	veicolo__b___sesso_conducente	veicolo__b___esito_conducente	veicolo__b___patente_condu27	veicolo__b___anno_rilascio28	veicolo__b___passeggeri_an29	veicolo__b___et__passegger30	veicolo__b___sesso_passegg31	veicolo__b___esito_passegg32	veicolo__b___et__passegger33	veicolo__b___sesso_passegg34	veicolo__b___esito_passegg35	veicolo__b___et__passegger36	veicolo__b___sesso_passegg37	veicolo__b___esito_passegg38	veicolo__b___et__passegger39	veicolo__b___sesso_passegg40	veicolo__b___altri_passegg41	veicolo__b___altri_passegg42	veicolo__b___altri_passegg43	veicolo__b___altri_passegg44	veicolo__c___et__conducente	veicolo__c___sesso_conducente	veicolo__c___esito_conducente	veicolo__c___patente_condu45	veicolo__c___anno_rilascio46	veicolo__c___passeggeri_an47	veicolo__c___et__passegger48	veicolo__c___sesso_passegg49	veicolo__c___esito_passegg50	veicolo__c___et__passegger51	veicolo__c___sesso_passegg52	veicolo__c___esito_passegg53	veicolo__c___et__passegger54	veicolo__c___sesso_passegg55	veicolo__c___esito_passegg56	veicolo__c___et__passegger57	veicolo__c___sesso_passegg58	veicolo__c___altri_passegg59	veicolo__c___altri_passegg60	veicolo__c___altri_passegg61	veicolo__c___altri_passegg62	pedone_morto_1__sesso	pedone_morto_1__et_	pedone_ferito_1__sesso	pedone_ferito_1__et_	pedone_morto_2__sesso	pedone_morto_2__et_	pedone_ferito_2__sesso	pedone_ferito_2__et_	pedone_morto_3__sesso	pedone_morto_3__et_	pedone_ferito_3__sesso	pedone_ferito_3__et_	pedone_morto_4__sesso	pedone_morto_4__et_	pedone_ferito_4__sesso	pedone_ferito_4__et_	altri_veicoli_coinvolti	morti_maschi_coinvolti_su_63	morti_femmine_coinvolti_su64	feriti_maschi_coinvolti_su65	feriti_femmine_coinvolti_s66	morti_entro_24_ore	morti_entro_30_giorni	feriti	numero	peso
10	04	001	130	7	19	1	1	5	460	003	12	2	1	08	1	4	1	03	08	01	  	     	     	     	    	    	    	20	  	23	  	  	  	  	07	1	2	2	07	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	2	1	2	03	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000274	 30.884615385
10	10	001	135	3	18	1	1	5	460	009	12	2	1	04	1	4	1	02	01	01	  	1560 	1910 	     	    	    	    	17	  	03	  	  	  	  	09	2	2	2	84	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	09	1	1	2	80	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000280	 30.884615385
10	04	001	156	7	09	1	1	7	T13	000	  	3	1	08	2	4	7	10	01	  	  	     	     	     	    	    	    	71	  	73	  	07	  	  	06	2	2	2	04	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000299	 30.884615385
10	03	001	164	5	12	1	1	7	T01	012	  	3	1	07	1	4	1	04	01	01	08	     	     	     	    	    	    	22	  	20	  	10	09	08	09	1	2	2	03	2	08	3	 	  	 	 	  	 	 	  	 	  	  	  	  	08	2	2	2	00	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	09	1	1	2	95	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	03	000342	 30.884615385
10	10	001	164	6	15	1	1	7	T01	011	  	3	1	07	1	4	7	02	01	01	  	     	     	     	    	    	    	20	  	25	  	  	  	  	08	2	2	2	05	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	2	03	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000353	 30.884615385
10	12	001	171	5	18	1	1	7	T01	018	  	1	1	08	1	4	1	10	08	  	  	2287 	     	     	    	    	    	70	  	70	  	09	  	  	06	1	2	2	10	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000382	 30.884615385
10	03	001	191	1	13	1	1	1	000	000	12	2	1	04	1	4	1	05	01	  	  	1242 	     	     	    	    	    	49	  	51	  	00	  	  	05	2	1	2	09	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	4	12	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000410	 30.884615385
10	10	001	191	5	08	1	1	9	589	034	12	2	1	07	1	3	1	04	01	01	  	     	     	     	    	    	    	20	  	23	  	08	01	  	08	2	2	2	92	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	05	1	2	2	09	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	02	000426	 30.884615385
10	09	001	209	3	12	1	1	7	A05	049	  	3	1	11	1	4	1	12	17	  	  	0599 	     	     	    	    	    	76	  	75	  	05	  	  	06	1	2	 	  	2	06	3	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	02	000444	  1.000000000
10	03	001	219	5	15	1	1	7	T01	022	  	1	1	07	1	4	1	04	08	08	01	2461 	5861 	2967 	0019	0061	0017	20	  	22	  	02	  	08	09	1	2	2	04	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	09	1	1	4	83	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	2	03	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000474	 30.884615385
10	09	001	219	7	22	1	1	7	T01	023	  	3	1	07	1	3	1	08	01	  	  	1124 	     	     	    	    	    	61	  	65	  	07	  	  	08	2	2	2	98	2	03	3	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	02	000509	 30.884615385
10	04	001	246	4	17	1	1	7	A05	023	  	3	1	07	1	4	1	03	08	01	  	     	     	     	    	    	    	21	  	38	  	09	98	  	08	1	2	2	85	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	09	1	1	2	09	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000560	 30.884615385
10	05	001	265	7	16	1	1	7	A04	003	  	2	1	07	1	4	1	02	01	01	  	     	1753 	     	    	    	    	20	  	31	  	00	04	  	07	2	2	2	06	2	06	3	 	  	 	 	  	 	 	  	 	  	  	  	  	06	1	1	2	06	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	02	000612	 30.884615385
10	06	001	265	5	13	1	1	1	000	000	12	2	1	05	1	1	1	02	16	01	  	0124 	1870 	     	    	    	    	01	  	17	  	  	  	  	04	1	2	1	09	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	2	1	2	96	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000616	 30.884615385
10	12	001	265	1	09	1	1	7	A05	007	  	3	1	07	1	3	1	04	01	01	  	1149 	1968 	     	    	    	    	20	  	21	  	  	  	  	08	2	2	2	92	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	10	2	1	2	08	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000637	 30.884615385
10	01	001	272	6	19	1	1	1	000	000	12	1	1	01	1	3	1	05	01	  	  	     	     	     	    	    	    	49	  	51	  	07	  	  	08	1	1	2	92	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	4	07	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000643	 30.884615385
10	03	001	272	2	17	1	1	7	R10	000	  	2	1	07	2	4	7	02	01	01	  	     	     	     	    	    	    	23	  	20	  	  	  	  	12	2	2	2	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	2	90	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000655	 30.884615385
10	07	001	272	3	16	1	1	1	000	000	12	3	1	02	1	4	1	03	08	01	  	     	     	     	    	    	    	03	  	01	  	  	  	  	13	1	1	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	2	3	92	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000691	 30.884615385
10	07	001	272	7	23	1	1	7	T02	016	  	3	1	07	1	4	1	03	01	01	  	1587 	1984 	     	    	    	    	36	  	20	  	03	10	  	09	1	1	2	76	2	11	4	 	  	 	 	  	 	 	  	 	  	  	  	  	09	1	1	2	78	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000698	 30.884615385
10	04	001	292	5	08	1	1	7	T02	012	  	1	1	07	1	4	1	10	16	  	  	0748 	     	     	    	    	    	72	  	73	  	08	  	  	08	1	2	2	99	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000746	 30.884615385
10	11	002	003	1	16	1	1	5	594	023	12	2	1	03	1	4	1	02	01	01	  	     	     	     	    	    	    	06	  	01	  	  	  	  	05	1	1	3	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	12	1	1	2	  	2	12	3	2	09	4	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	02	000808	  3.206896552
10	05	002	004	1	23	1	1	7	A04	043	  	1	1	07	1	4	1	04	08	08	  	2500 	5883 	     	    	    	    	22	  	20	  	06	03	  	08	1	2	2	07	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	09	1	1	5	10	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000810	  3.206896552
10	07	002	004	1	08	1	1	7	A04	043	  	1	1	07	1	4	1	03	01	01	  	1108 	2200 	     	    	    	    	20	  	23	  	04	03	  	11	1	2	2	88	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	2	10	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000812	  3.206896552
10	07	002	006	7	18	1	1	1	000	000	12	2	1	07	1	4	1	07	21	  	  	     	     	     	    	    	    	61	  	61	  	  	  	  	07	1	2	2	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000817	  1.000000000
10	05	002	009	3	19	1	1	5	013	001	12	2	1	02	1	4	1	01	16	01	  	     	     	     	    	    	    	07	  	01	  	  	  	  	09	1	2	2	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	06	1	1	4	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000819	  3.206896552
10	01	002	015	3	18	1	1	7	A04	039	  	2	1	07	1	3	1	04	08	10	  	1560 	     	     	    	    	    	21	  	20	  	09	08	  	11	1	2	2	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	5	07	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000821	  3.206896552
10	03	002	016	6	12	1	1	5	299	039	12	2	1	03	1	4	1	04	15	01	  	     	     	     	    	    	    	11	  	01	  	  	  	  	05	1	2	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	08	1	1	2	88	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000826	  3.206896552
10	07	002	016	3	09	1	1	5	101	000	12	2	1	07	2	1	7	10	01	  	  	     	     	     	    	    	    	71	  	75	  	  	  	  	08	2	2	2	88	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000829	  3.206896552
10	12	002	016	3	23	1	1	2	075	000	12	2	1	07	1	4	1	05	01	  	  	     	     	     	    	    	    	00	  	00	  	  	  	  	13	1	1	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	4	10	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000832	  3.206896552
10	05	002	017	7	04	1	1	1	000	000	12	2	1	03	1	4	1	02	01	01	  	     	     	     	    	    	    	01	  	07	  	  	  	  	05	1	1	2	  	2	04	3	2	05	3	2	05	3	2	04	3	  	  	  	  	07	1	1	3	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	04	000833	  1.000000000
10	10	002	017	7	05	1	1	5	011	079	12	2	1	03	2	4	3	02	01	01	  	     	     	     	    	    	    	07	  	01	  	  	  	  	08	2	1	2	  	2	07	4	 	  	 	 	  	 	 	  	 	  	  	  	  	06	2	1	2	08	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	  	 	 	 	  	 	  	 	 	  	 	 	  	 	 	  	 	  	  	  	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	 	  	  	  	  	  	  	00	00	01	000836	  3.206896552
